,Nifty50,SP500,USDINR,US_Bond_Yield,India_Bond_Yield,Nifty50_MA50,SP500_MA50,Nifty50_MA200,SP500_MA200,Nifty50_Volatility,SP500_Volatility
2025-12-01,26175.75,6812.6298828125,89.3499984741211,4.09,6.6325,25577.4771484375,6730.319189453125,,,208.11793071750904,89.40649044293907
2025-12-02,26032.19921875,6829.3701171875,89.61270141601562,4.09,6.6325,25594.7311328125,6733.768193359375,,,209.6259892150445,89.93395524029307
2025-12-03,25986.0,6849.72021484375,89.91719818115234,4.06,6.6325,25613.313125,6738.003193359375,,,210.167049979373,90.09038276249278
2025-12-04,26033.75,6857.1201171875,90.17050170898438,4.11,6.6325,25636.1711328125,6743.05119140625,,,211.5405332290813,91.05968769429934
2025-12-05,26186.44921875,6870.39990234375,89.8364028930664,4.14,6.6325,25666.8061328125,6747.585185546875,,,216.4791280927377,92.57987069177125
2025-12-08,25960.55078125,6846.509765625,89.93800354003906,4.17,6.6325,25693.319140625,6751.291181640625,,,216.44022557935034,91.71806245154526
2025-12-09,25839.650390625,6840.509765625,90.12999725341795,4.18,6.6325,25717.89015625,6754.332177734375,,,216.89005583201725,90.063470824838
2025-12-10,25758.0,6886.68017578125,89.91690063476562,4.13,6.6325,25736.324140625,6757.84177734375,,,217.11143895257325,89.89805221431847
2025-12-11,25898.55078125,6901.0,89.79299926757812,4.14,6.6325,25757.569140625,6761.554775390625,,,217.05267161611013,92.34475645957363
2025-12-12,26046.94921875,6827.41015625,90.25299835205078,4.19,6.6325,25780.623125,6763.787177734375,,,215.63882365735333,92.09016935755382
2025-12-15,26027.30078125,6816.509765625,90.5770034790039,4.18,6.6325,25799.6161328125,6765.31177734375,,,214.52506058447375,91.3640355329907
2025-12-16,25860.099609375,6800.259765625,90.7769012451172,4.15,6.6325,25814.652109375,6767.02517578125,,,205.84725073535247,91.43171931685005
2025-12-17,25818.55078125,6721.43017578125,90.94889831542967,4.16,6.6325,25830.1001171875,6766.379375,,,197.1382070985729,91.99539646708205
2025-12-18,25815.55078125,6774.759765625,90.4136962890625,4.12,6.6325,25842.7751171875,6767.172373046875,,,181.27261556777864,91.36048617948502
2025-12-19,25966.400390625,6834.5,90.25579833984376,4.16,6.6325,25856.3961328125,6772.812177734375,,,159.09145820183733,91.37780941913455
2025-12-22,26172.400390625,6878.490234375,89.56999969482422,4.17,6.6325,25875.2971484375,6777.287578125,,,144.8787580610297,92.61593528970707
2025-12-23,26177.150390625,6909.7900390625,89.60389709472656,4.18,6.6325,25895.93015625,6782.597177734375,,,137.81157834698715,94.76994568607248
2025-12-24,26142.099609375,6932.0498046875,89.50789642333984,4.15,6.6325,25912.3011328125,6787.81697265625,24947.46755859375,,137.83489555044716,97.7779152192544
2025-12-25,26142.099609375,6932.0498046875,89.50789642333984,4.15,6.6325,25923.437109375,6793.876572265625,24962.2248046875,6281.553234863281,137.3871039554418,100.632076847975
2025-12-26,26042.30078125,6929.93994140625,90.10590362548828,4.14,6.6325,25930.0861328125,6799.19517578125,24975.684306640625,6287.865134277344,135.79011896395693,102.81954692649077
2025-12-29,25942.099609375,6905.740234375,89.82929992675781,4.12,6.6325,25932.0651171875,6802.6073828125,24987.103056640626,6293.555986328125,136.6435114893095,101.46867671667016
2025-12-30,25938.849609375,6896.240234375,89.9000015258789,4.14,6.6325,25933.4701171875,6805.825185546875,24998.454052734374,6299.1539379882815,135.9158125472993,95.81519454714659
2025-12-31,26129.599609375,6845.5,89.76940155029297,4.18,6.6325,25938.6901171875,6808.7471875,25011.667802734373,6304.820437011719,137.1798565160705,89.85055353507644
2026-01-01,26146.55078125,6845.5,89.76940155029297,4.18,6.732,25943.793125,6810.888388671875,25024.440810546876,6310.58138671875,135.53370830696153,71.61717662162108
2026-01-02,26328.55078125,6858.47021484375,89.96189880371094,4.19,6.732,25954.4611328125,6812.223994140625,25038.48681640625,6316.969038085937,146.25159699593726,56.49714991676315
2026-01-05,26250.30078125,6902.0498046875,90.00700378417969,4.17,6.732,25960.1461328125,6812.761787109375,25052.141572265624,6323.4200366210935,150.6779788764398,50.851102829278496
2026-01-06,26178.69921875,6944.81982421875,90.23300170898438,4.18,6.732,25964.9961328125,6813.840380859375,25067.206572265626,6329.978786621094,149.50579514049113,50.95698953155357
2026-01-07,26140.75,6920.93017578125,90.16609954833984,4.15,6.732,25966.733125,6814.4471875,25081.24857421875,6336.228586425781,147.70699513486764,51.504248748133634
2026-01-08,25876.849609375,6921.4599609375,89.8644027709961,4.19,6.732,25966.713125,6816.42958984375,25094.38232421875,6343.853286132812,147.70790887654854,51.80590679384782
2026-01-09,25683.30078125,6966.27978515625,89.90540313720703,4.18,6.732,25965.9371484375,6818.951181640625,25108.27658203125,6353.314284667968,158.11180040222882,54.91348987577957
2026-01-12,25790.25,6977.27001953125,90.23600006103516,4.19,6.732,25966.47515625,6821.457177734375,25126.419833984375,6362.889384765625,160.93007816827273,57.301654907236056
2026-01-13,25732.30078125,6963.740234375,90.13269805908205,4.18,6.732,25969.1681640625,6825.300986328125,25142.40208984375,6372.794235839844,168.65791571432163,58.914264692112795
2026-01-14,25665.599609375,6926.60009765625,90.27300262451172,4.15,6.732,25970.5271484375,6827.9071875,25158.7343359375,6380.142736816406,179.40326229555532,59.28692265747638
2026-01-15,25665.599609375,6944.47021484375,90.18319702148438,4.17,6.732,25973.64515625,6832.3901953125,25175.06658203125,6388.524838867187,188.64095032752581,60.20475729766164
2026-01-16,25694.349609375,6940.009765625,90.36160278320312,4.24,6.732,25977.6861328125,6836.61439453125,25189.395576171875,6396.4080883789065,191.2181266287933,60.99691173563874
2026-01-19,25585.5,6940.009765625,90.7020034790039,4.24,6.732,25977.909140625,6838.765986328125,25203.180322265624,6404.0782861328125,203.14006436710193,61.278297861020775
2026-01-20,25232.5,6796.85986328125,90.90450286865234,4.3,6.732,25968.66015625,6837.770986328125,25212.700068359376,6411.0794360351565,241.0667015581288,62.975901845031295
2026-01-21,25157.5,6875.6201171875,91.11840057373048,4.26,6.732,25954.294140625,6838.264990234375,25221.301572265624,6419.079035644531,277.8238197097611,63.016420611951226
2026-01-22,25289.900390625,6913.35009765625,91.53690338134766,4.26,6.732,25942.509140625,6841.7821875,25228.492822265624,6427.23228515625,299.9054219190115,63.14678663731598
2026-01-23,25048.650390625,6915.60986328125,91.55829620361328,4.24,6.732,25925.2811328125,6845.4121875,25234.477822265624,6435.396833496094,334.99224774292503,62.27232915367068
2026-01-26,25048.650390625,6950.22998046875,91.5009994506836,4.22,6.732,25905.98515625,6850.968583984375,25239.0933203125,6444.356982421875,364.0015530201072,61.53721769521509
2026-01-27,25175.400390625,6978.60009765625,91.71309661865234,4.24,6.732,25891.2921484375,6858.194189453125,25244.134072265624,6452.811184082031,382.53087680283124,60.63011915201664
2026-01-28,25342.75,6978.02978515625,91.5343017578125,4.26,6.732,25877.094140625,6864.91158203125,25249.203076171874,6460.822033691406,391.46344882927525,51.82404093104167
2026-01-29,25418.900390625,6969.009765625,92.04080200195312,4.24,6.732,25861.629140625,6873.51658203125,25255.06408203125,6468.243232421875,396.99998064669586,46.17582964942682
2026-01-30,25320.650390625,6939.02978515625,91.78189849853516,4.26,6.732,25846.679140625,6880.237373046875,25261.4705859375,6475.312331542968,403.44869936142237,43.65451808598276
2026-02-02,25088.400390625,6976.43994140625,91.68699645996094,4.29,6.78333333333333,25829.2571484375,6885.66376953125,25265.270087890625,6482.55078125,412.6280353576544,44.10922519881972
2026-02-03,25727.55078125,6917.81005859375,90.24559783935548,4.28,6.78333333333333,25826.1121484375,6888.702373046875,25272.228095703125,6489.335681152344,403.2290610347747,44.04947449367822
2026-02-04,25776.0,6882.72021484375,90.4228973388672,4.29,6.78333333333333,25817.5261328125,6890.104580078125,25279.437099609375,6495.903981933594,394.76222027207785,44.634491082368605
2026-02-05,25642.80078125,6798.39990234375,90.125,4.21,6.78333333333333,25806.0711328125,6889.820380859375,25285.980107421874,6501.875280761718,385.2520971978975,49.93288030183275
2026-02-06,25693.69921875,6932.2998046875,90.3147964477539,4.22,6.78333333333333,25795.8861328125,6891.484580078125,25292.715107421875,6508.103430175781,378.79824825021956,49.955238656555366
2026-02-09,25867.30078125,6964.81982421875,90.58799743652344,4.22,6.78333333333333,25789.7171484375,6894.52837890625,25299.745859375,6514.675629882812,377.0999087973801,50.638087832177916
2026-02-10,25935.150390625,6941.81005859375,90.8227996826172,4.16,6.78333333333333,25787.776171875,6896.777177734375,25307.52361328125,6521.350129394531,377.0043467970436,50.60268955675689
2026-02-11,25953.849609375,6941.47021484375,90.58789825439452,4.18,6.78333333333333,25787.1331640625,6898.612177734375,25315.220859375,6527.901081542968,370.67902963481,48.666530874149856
2026-02-12,25807.19921875,6832.759765625,90.73570251464844,4.09,6.78333333333333,25782.6021484375,6898.124970703125,25322.8878515625,6533.745180664063,359.98329549108087,49.42594057151188
2026-02-13,25471.099609375,6836.169921875,90.56410217285156,4.04,6.78333333333333,25768.29515625,6897.44037109375,25330.203349609375,6539.626479492187,336.4794023220087,50.594659034442145
2026-02-16,25682.75,6836.169921875,90.57119750976562,4.04,6.78333333333333,25762.739140625,6897.23357421875,25333.993603515624,6544.586379394531,314.3929625726822,52.9100873273157
2026-02-17,25725.400390625,6843.22021484375,90.78299713134766,4.05,6.78333333333333,25760.454140625,6897.287783203125,25339.728857421876,6549.369731445313,295.43527267550525,54.54333784792908
2026-02-18,25819.349609375,6881.31005859375,90.6261978149414,4.09,6.78333333333333,25761.6811328125,6897.180380859375,25345.491103515626,6554.313381347656,279.60360301190826,54.932521889960036
2026-02-19,25454.349609375,6861.89013671875,90.7935028076172,4.08,6.78333333333333,25752.797109375,6896.39818359375,25347.452353515626,6559.038181152344,273.88285603912266,55.80011391050421
2026-02-20,25571.25,6909.509765625,91.04109954833984,4.08,6.78333333333333,25743.283125,6898.04017578125,25350.209599609374,6563.7938305664065,272.7625005787037,54.92411427548246
2026-02-23,25713.0,6837.75,90.72660064697266,4.03,6.78333333333333,25736.997109375,6898.46498046875,25354.047353515623,6568.164580078125,270.7357821437581,55.128642497527885
2026-02-24,25424.650390625,6890.06982421875,91.02010345458984,4.04,6.78333333333333,25728.288125,6900.261181640625,25357.751103515624,6572.912629394531,269.1629333678188,54.17064926471307
2026-02-25,25482.5,6946.1298828125,90.91799926757812,4.05,6.78333333333333,25721.567109375,6904.75517578125,25361.096357421877,6578.420229492188,268.13410006366325,54.55431957906822
2026-02-26,25496.55078125,6908.85986328125,90.95099639892578,4.02,6.78333333333333,25715.187109375,6907.437177734375,25365.530615234376,6583.754479980469,266.89922313206375,54.06732669779004
2026-02-27,25178.650390625,6878.8798828125,91.00740051269533,3.97,6.78333333333333,25699.432109375,6908.324775390625,25367.158115234375,6589.134780273437,271.9479021940691,53.83558287364816
2026-03-02,24865.69921875,6881.6201171875,91.07959747314452,4.05,6.78333333333333,25673.2980859375,6908.387373046875,25366.480859375,6594.528781738281,295.29649801118023,53.48687958290236
2026-03-03,24865.69921875,6816.6298828125,91.56340026855467,4.06,6.78333333333333,25647.0690625,6906.524169921875,25366.678359375,6599.004230957031,312.9790695729448,52.273327764456404
2026-03-04,24480.5,6869.5,92.00859832763672,4.09,6.78333333333333,25613.8370703125,6905.273173828125,25365.31861328125,6603.908981933594,357.4058225832754,52.38844416891071
2026-03-05,24765.900390625,6830.7099609375,92.1230010986328,4.13,6.78333333333333,25586.3130859375,6903.246376953125,25364.9801171875,6608.501682128906,377.51620067035816,53.86860933067307
2026-03-06,24450.44921875,6740.02001953125,91.78690338134766,4.15,6.78333333333333,25554.4760546875,6899.447978515625,25363.4788671875,6612.643332519531,412.4351072771613,60.98618686062263
2026-03-09,24028.05078125,6795.990234375,91.93620300292967,4.12,6.78333333333333,25516.195078125,6897.252978515625,25360.036123046873,6616.943583984375,479.7197775077131,62.42687409490449
2026-03-10,24261.599609375,6781.47998046875,91.220703125,4.15,6.78333333333333,25482.650078125,6894.9577734375,25358.63162109375,6620.999133300781,520.0893322114805,62.85321241236946
2026-03-11,23866.849609375,6775.7998046875,92.16510009765624,4.21,6.78333333333333,25437.395078125,6893.56376953125,25354.864873046874,6625.02408203125,585.8339254077969,62.897391051703934
2026-03-12,23639.150390625,6672.6201171875,92.22879791259766,4.27,6.78333333333333,25387.2470703125,6890.106171875,25349.306123046874,6628.69068359375,658.4217931360457,70.29277121282887
2026-03-13,23151.099609375,6632.18994140625,92.38990020751952,4.28,6.78333333333333,25323.698046875,6885.58056640625,25340.0463671875,6631.849833984375,760.0213275890386,80.57933759708519
2026-03-16,23408.80078125,6699.3798828125,92.5635986328125,4.23,6.78333333333333,25266.868046875,6881.52716796875,25331.574375,6635.317333984375,824.8001401069066,81.9090151634004
2026-03-17,23581.150390625,6716.08984375,92.28269958496094,4.2,6.78333333333333,25214.9170703125,6876.952568359375,25323.958876953126,6638.703732910156,861.3879190618052,83.94623713320297
2026-03-18,23777.80078125,6624.7001953125,92.39129638671876,4.26,6.78333333333333,25167.6580859375,6871.02796875,25317.14087890625,6641.716032714844,879.2131973194773,92.02243699608374
2026-03-19,23002.150390625,6606.490234375,93.24659729003906,4.25,6.78333333333333,25110.1641015625,6864.72857421875,25307.710634765626,6644.522185058594,939.5185773389147,100.52068958993343
2026-03-20,23114.5,6506.47998046875,93.6520004272461,4.25,6.78333333333333,25058.7880859375,6855.532578125,25299.69013671875,6647.169733886719,979.708327699717,113.73264703844856
